Date,Open,High,Low,Close,Adj Close,Volume
2017-12-28,122.820000,122.919998,122.559998,122.849998,122.849998,5732700
2017-12-29,123.699997,124.089996,123.459999,123.650002,123.650002,7852100
2018-01-02,124.660004,125.180000,124.389999,125.150002,125.150002,11762500
2018-01-03,125.050003,125.089996,124.099998,124.820000,124.820000,7904300
2018-01-04,124.889999,125.849998,124.739998,125.459999,125.459999,7329700
2018-01-05,124.930000,125.480003,124.830002,125.330002,125.330002,5739900
2018-01-08,125.199997,125.320000,124.900002,125.309998,125.309998,3566700
2018-01-09,124.489998,124.860001,124.230003,124.730003,124.730003,9153600
2018-01-10,125.169998,125.309998,124.720001,125.029999,125.029999,14809300
2018-01-11,125.370003,125.660004,125.250000,125.440002,125.440002,5994700
2018-01-12,126.010002,127.129997,125.809998,126.959999,126.959999,9258600
2018-01-16,126.599998,127.180000,126.400002,127.169998,127.169998,8083900
2018-01-17,126.769997,127.220001,125.900002,126.139999,126.139999,10130500
2018-01-18,126.129997,126.519997,125.800003,125.860001,125.860001,6289300
2018-01-19,126.570000,126.730003,126.410004,126.419998,126.419998,8773800
2018-01-22,126.510002,126.750000,126.279999,126.650002,126.650002,4893500
2018-01-23,126.529999,127.349998,126.339996,127.279999,127.279999,6190400
2018-01-24,128.389999,129.259995,128.229996,128.830002,128.830002,11827600
2018-01-25,128.690002,129.509995,127.360001,127.970001,127.970001,15219700
2018-01-26,128.240005,128.520004,127.970001,128.070007,128.070007,7781900
