Date,Open,High,Low,Close,Adj Close,Volume
2017-10-27,25.160000,25.660000,25.090000,25.570000,25.218945,3767000
2017-10-30,25.590000,25.639999,25.450001,25.600000,25.248533,3332600
2017-10-31,25.610001,25.850000,25.309999,25.840000,25.485239,4634500
2017-11-01,25.870001,26.139999,25.760000,26.020000,25.662767,5109700
2017-11-02,26.969999,27.620001,26.709999,26.950001,26.580000,8229900
2017-11-03,26.510000,27.150000,26.510000,27.139999,27.139999,4215100
2017-11-06,27.170000,27.360001,26.840000,26.840000,26.840000,4193300
2017-11-07,26.799999,27.080000,26.750000,27.000000,27.000000,3548400
2017-11-08,26.910000,27.070000,26.790001,26.990000,26.990000,5084400
2017-11-09,26.830000,27.219999,26.830000,27.020000,27.020000,3623900
2017-11-10,26.850000,27.360001,26.760000,27.010000,27.010000,3328400
2017-11-13,27.049999,27.309999,27.010000,27.230000,27.230000,3267000
2017-11-14,27.180000,27.340000,27.020000,27.020000,27.020000,3800700
2017-11-15,26.980000,27.100000,26.500000,26.910000,26.910000,4103400
2017-11-16,26.959999,27.010000,26.660000,26.840000,26.840000,4430500
2017-11-17,26.750000,26.900000,26.740000,26.799999,26.799999,2769700
2017-11-20,26.799999,26.870001,26.540001,26.799999,26.799999,3211700
2017-11-21,26.870001,26.930000,26.760000,26.799999,26.799999,3468500
2017-11-22,26.760000,26.930000,26.709999,26.709999,26.709999,2552100
2017-11-24,26.719999,27.000000,26.719999,26.879999,26.879999,880700
2017-11-27,26.870001,26.930000,26.690001,26.690001,26.690001,3106000
2017-11-28,26.700001,26.780001,26.410000,26.549999,26.549999,2566600
2017-11-29,26.540001,26.950001,26.379999,26.900000,26.900000,3358000
2017-11-30,26.830000,26.850000,26.299999,26.440001,26.440001,5115100
2017-12-01,26.540001,26.770000,26.480000,26.660000,26.660000,3453800
2017-12-04,26.670000,26.790001,26.379999,26.400000,26.400000,3283500
2017-12-05,26.790001,26.959999,26.540001,26.559999,26.559999,3769800
2017-12-06,26.629999,26.650000,26.389999,26.610001,26.610001,1934900
2017-12-07,26.549999,26.850000,26.510000,26.770000,26.770000,2283100
2017-12-08,26.809999,27.040001,26.680000,26.780001,26.780001,2763700
2017-12-11,26.730000,26.830000,26.690001,26.719999,26.719999,3070900
2017-12-12,26.770000,27.299999,26.700001,27.139999,27.139999,6450500
2017-12-13,27.230000,27.430000,26.920000,26.969999,26.969999,5779300
2017-12-14,26.930000,27.080000,26.799999,26.809999,26.809999,3960400
2017-12-15,26.900000,27.240000,26.820000,26.830000,26.830000,9652900
2017-12-18,26.940001,27.299999,26.910000,26.980000,26.980000,4185900
2017-12-19,27.000000,27.000000,25.990000,26.100000,26.100000,5205500
2017-12-20,26.049999,26.219999,25.820000,25.840000,25.840000,4922200
2017-12-21,25.900000,25.900000,25.520000,25.600000,25.600000,4396600
2017-12-22,25.629999,25.709999,25.510000,25.670000,25.670000,2935900
2017-12-26,25.700001,26.049999,25.629999,25.950001,25.950001,2547300
2017-12-27,26.040001,26.120001,25.809999,25.870001,25.870001,2332200
2017-12-28,25.860001,26.040001,25.700001,26.030001,26.030001,3186600
2017-12-29,26.000000,26.250000,25.969999,26.080000,26.080000,3010700
2018-01-02,26.080000,26.160000,25.790001,25.910000,25.910000,3661700
2018-01-03,25.980000,26.120001,25.790001,25.900000,25.900000,2804300
2018-01-04,25.900000,25.950001,25.219999,25.260000,25.260000,3702800
2018-01-05,25.209999,25.230000,24.750000,25.010000,25.010000,4060800
2018-01-08,25.059999,25.180000,24.910000,25.030001,25.030001,3631700
2018-01-09,25.040001,25.070000,24.480000,24.500000,24.500000,4296800
2018-01-10,24.450001,24.450001,24.190001,24.360001,24.360001,3465300
2018-01-11,24.420000,24.610001,24.100000,24.170000,24.170000,5544000
2018-01-12,24.120001,24.150000,23.610001,23.639999,23.639999,5103400
2018-01-16,23.750000,24.080000,23.700001,23.719999,23.719999,3902400
2018-01-17,23.860001,23.860001,23.490000,23.719999,23.719999,3860000
2018-01-18,23.610001,23.660000,23.309999,23.330000,23.330000,4207200
2018-01-19,23.350000,23.440001,23.160000,23.420000,23.420000,3573300
2018-01-22,23.389999,23.730000,23.360001,23.650000,23.650000,3710300
2018-01-23,23.709999,24.360001,23.709999,24.280001,24.280001,5175400
2018-01-24,24.250000,24.350000,24.110001,24.209999,24.209999,4408000
2018-01-25,24.200001,24.389999,24.110001,24.379999,24.379999,3170100
2018-01-26,24.360001,24.420000,24.010000,24.230000,24.230000,2655000
